name,price,multiplier
A Plus,5400000,1
Adventure Compass,2000000,1
Adventure Ticket,120000,5
Adventure Voucher,1500000,1
Aetheryx' Flower,3000000,1
Aha's Pitcher Plant,5400000,1
Aiphey's Gemstone,4200000,1
Alcohol,100000,5
Alien Sample,900000,1
Ammo,1800000,1
Ant,30000,17
Anti-Rob Pack,600000,1
Apple,10000,50
Apron,7000000,1
Armpit Hair,1800000,1
Baby,2400000,1
Badosz's Card,8000000,1
Bait Box,8800000,1
Ban Hammer,1000000,1
Bank Note,150000,4
Barrel of Sludge,800000,1
Beaker of sus fluid,5000000,1
Bean,90000,6
Bean Mp3 Player,36000000,1
Bean Seeds,270000,2
Berries and Cream,6000000,1
Binary,5500000,1
Birthday Cake,700000,1
Black Hole,390000,2
Blob,INQUIRE,0
Blue Plastic Bits,50000,10
Blue's Plane,8000000,1
Boar,30000,17
Bolt Cutters,40000000,1
Bottle of Whiskey,1800000,1
Box Box,13000000,1
Box of Sand,40000,13
Boxed Chocolates,32000000,1
Broccoli,190000,3
Broccoli Seeds,130000,4
Bundle Box,65000000,1
Cactus,300000,2
Caipirinha,15000000,1
Camera,3700000,1
Candy,240000,3
Candy Cane,240000,3
Candy Corn,1900000,1
Carrot,110000,5
Carrot Seeds,60000,9
Cell Phone,UNAVAILABLE,0
Chads's Weights,7000000,1
Chet's USB,7000000,1
Chill Pill,900000,1
Chocolate Cake,5500000,1
Christmas Gift,2700000,1
Christmas Tree,240000,3
Coin Bomb,800000,1
Coin Voucher,6000000,1
Cookie,90000,6
Corn Seeds,60000,9
Corncob,70000,8
Corndog,70000,8
Cowboy Boots,8200000,1
Cowboy Hat,900000,1
Credit Card,43000000,1
Crunchy Taco,16000000,1
Cupid's Big Toe,1100000,1
Cursed Pepe,54000000,1
Daily Box,1000000,1
Dank Box,3900000,1
Dank Memer's Hard Drive,UNAVAILABLE,0
Deer,120000,5
Designer Hoodie,5400000,1
Developer Box,15000000,1
Diamond,1300000,1
Digging Trophy,INQUIRE,0
Dragon,390000,2
Duck,20000,25
Duct Tape,300000,2
Ectoplasm,10000000,1
Electrifying Zing,18000000,1
Elf On The Shelf,1100000,1
Empowered Fart Bottle,34000000,1
Enchanted Badosz's Card,INQUIRE,0
Energy Drink,7000000,1
Engagement Ring,2100000,1
Exclusive Gems Box,54000000,1
Fake ID,40000,13
Fart In A Bottle,7600000,1
Fertilizer Bag,120000,5
Fidget Spinner,280000,2
Fierce Fang Fare,8800000,1
Figure's Watch,14000000,1
Fishing Trophy,11000000,1
Fool's Notif,1300000,1
Fossil,150000,4
Freemium Ad,810000,1
Fresh Bread,380000,2
Friend's Gift,4800000,1
Garbage,60000,9
Gift Box,13000000,1
God Box,20000000,1
Golden Coins,600000,1
Golden Corndog,810000,1
Golden Nugget,340000,2
Golden Plastic Bits,700000,1
Grass,14000000,1
Gravestone,240000,3
Green Screen,4500000,1
Grind Pack,1000000,1
Grub Pail,9000000,1
Headphones,18000000,1
Hoe,30000,17
Holiday Stocking,8000000,1
Holy Badosz's Bread,45000000,1
Holy Water,50000000,1
Hunting Rifle,10000,50
Hunting Trophy,INQUIRE,0
Inflated Delicacy,37000000,1
Jacky o' Lanty,6000000,1
Jar Of Singularity,1600000,1
Joke Book,26000000,1
Junk,120000,5
Kable's Sunglasses,10000000,1
Keyboard,40000,13
Ladybug,250000,2
Landmine,260000,2
